# name ind_start ind_stop blue_start blue_stop red_start red_stop
CaII0.39 3899.5 4003.5 3806.5 3833.8 4020.7 4052.4
CN0.41 4143.3 4178.3 4085.0 4097.6 4245.5 4285.5
CaI0.42 4223.5 4236.0 4212.2 4221.0 4242.2 4252.2
CH0.43 4282.6 4317.6 4267.6 4283.8 4320.1 4336.5
FeI0.44 4370.3 4421.6 4360.3 4371.6 4444.1 4456.6
C2 0.47 4635.3 4721.6 4612.8 4631.6 4744.1
FeI0.50 4979.2 5055.4 4947.9 4979.2 5055.4 5066.7
MgH0.51 5070.5 5135.6 4896.5 4959.0 5302.6 5367.6
FeI0.52 5247.2 5287.2 5234.7 5249.7 5287.2 5319.7
MgI0.52a 5161.6 5194.1 5144.1 5162.8 5192.8 5207.8
MgI0.52b 5165.0 5220.0 5125.0 5165.0 5220.0 5260.0
FeI0.53 5313.6 5353.6 5306.1 5317.4 5354.9 5364.9
NaI0.59 5878.5 5911.0 5862.2 5877.2 5923.7 5949.7
NaI0.82 8177.0 8205.0 8170.0 8177.0 8205.0 8215.0
CaII0.86 8484.0 8513.0 8474.0 8484.0 8563.0 8577.0
- 8522.0 8562.0 8474.0 8484.0 8563.0 8577.0
- 8642.0 8682.0 8619.0 8642.0 8700.0 8725.0
MgI0.88 8801.9 8816.9 8777.4 8789.4 8847.4 8857.4
TiO0.89 -1 -1 8835.0 8855.0 8870.0 8890.0
FeH0.99 9905.0 9935.0 9855.0 9880.0 9940.0 9970.0
NaI1.14 11372.0 11415.0 11360.0 11370.0 11417.0 11427.0
KI1.17 11680.0 11705.0 11667.0 11680.0 11710.0 11750.0
- 11765.0 11793.0 11710.0 11750.0 11793.0 11810.0
AlI1.31 13115.0 13165.0 13090.0 13113.0 13165.0 13175.0
CaI1.98 19770.0 19795.0 19740.0 19765.0 19800.0 19840.0
- 19845.0 19880.0 19800.0 19840.0 19885.0 19895.0
NaI2.21 22047.0 22105.0 22035.0 22045.0 22107.0 22120.0
CO2.30 22932.0 22982.0 22860.0 22910.0 23020.0 23070.0
- 23220.0 23270.0 23150.0 23200.0 23300.0 23350.0
